# Per-frame numbers for the survey set, at the last verified commit.
# Regenerate with the snippet in HANDOFF section 1b. A diff is the signal:
# an image tells you something changed, these tell you what.
#
# frame           mean  median   max  blown%  black%      R      G      B
  A-helm         162.8   165.0   749    0.03    0.00   51.2   57.9   53.6
  B-chart        180.5   176.0   455    0.00    0.00   63.9   61.1   55.5
  C-fwd          184.9   179.0   318    0.00    0.00   64.3   62.9   57.7
  D-aft          161.8   155.0   382    0.00    0.00   54.0   55.5   52.3
  E-hullq        127.8    94.0   616    0.00    0.00   26.0   48.3   53.4
  F-hullb        130.9    94.0   614    0.00    0.00   26.4   50.1   54.4
  G-hulls        156.4    94.0   706    0.05    0.00   34.8   59.7   61.9
  a-shelf        198.7   205.0   289    0.00    0.00   18.2   82.4   98.1
  b-rim          161.7   161.0   316    0.00    0.00   18.4   66.3   77.1
  c-wall         120.8    92.0   639    0.00    0.00   25.4   45.4   50.0
  d-deep         140.9    94.0   631    0.00    0.00   29.4   53.9   57.6
  e-floor        170.1    93.0   763    6.27    0.00   44.8   61.2   64.2
  f-descent      160.9   143.0   321    0.00    0.00   18.1   65.7   77.0
  g-shelf-noc    199.1   205.0   298    0.00    0.00   18.2   82.7   98.2
  h-deep-dark     79.8    83.0   416    0.00    0.00   18.0   27.7   34.1
  i-wall-lit     120.8    92.0   638    0.00    0.00   25.3   45.4   50.0
  j-d1200        175.2    94.0   764    6.90    0.00   46.0   62.9   66.3
  k-d4000        175.1    94.0   764    6.90    0.00   46.0   62.9   66.3
  l-nosnow       335.1   347.0   502    0.00    0.00   22.8  147.4  164.9
  m-catwalk      139.9    93.0   727    0.21    0.00   31.5   52.2   56.2
  n-station      125.6    93.0   621    0.00    0.00   25.7   47.2   52.6
  o-wreck        171.2    96.0   711    0.01    0.00   38.0   66.3   67.0
  p-bow          160.5    95.0   741    1.31    0.00   37.1   60.1   63.3
  q-garden       177.4    94.0   764    6.85    0.00   47.5   63.4   66.5
  r-noflora      175.6    94.0   764    6.84    0.00   46.8   62.8   66.0
  s-slope        130.5   101.0   627    0.00    0.00   25.6   49.5   55.5
  t-turf         199.1   205.0   279    0.00    0.00   18.2   82.7   98.2
  u-stern        169.1   150.0   732    0.01    0.00   56.9   57.7   54.6
  v-board        153.2   146.0   744    0.07    0.00   49.1   54.2   49.9
  w-plant        138.8   133.0   743    0.03    0.00   44.0   48.0   46.9
  x-bunks        154.6   150.0   377    0.00    0.00   51.1   53.1   50.4
  y-mess         146.7   145.0   380    0.00    0.00   48.5   49.9   48.3
  z-galley       154.6   149.0   401    0.00    0.00   53.1   51.8   49.8
